posteam,yardline_100,game_date,game_seconds_remaining,down,ydstogo,score_differential,fourth_down_converted,fourth_down_failed,field_goal_attempt,punt_attempt
NYJ,75.0,2012-01-01,3543.0,4.0,5.0,0.0,0.0,0.0,0.0,1.0
MIA,26.0,2012-01-01,3276.0,4.0,9.0,0.0,0.0,0.0,1.0,0.0
MIA,83.0,2012-01-01,2921.0,4.0,4.0,-4.0,0.0,0.0,0.0,1.0
NYJ,49.0,2012-01-01,2827.0,4.0,3.0,4.0,0.0,0.0,0.0,1.0
NYJ,43.0,2012-01-01,2669.0,4.0,10.0,4.0,0.0,0.0,0.0,1.0
MIA,47.0,2012-01-01,2524.0,4.0,6.0,-4.0,0.0,0.0,0.0,1.0
NYJ,13.0,2012-01-01,2024.0,4.0,2.0,4.0,0.0,0.0,1.0,0.0
MIA,76.0,2012-01-01,1949.0,4.0,6.0,-7.0,0.0,0.0,0.0,1.0
NYJ,71.0,2012-01-01,1911.0,4.0,11.0,7.0,0.0,0.0,0.0,1.0
MIA,72.0,2012-01-01,1675.0,4.0,6.0,-4.0,0.0,0.0,0.0,1.0
NYJ,47.0,2012-01-01,1385.0,4.0,9.0,4.0,0.0,0.0,0.0,1.0
MIA,22.0,2012-01-01,436.0,4.0,7.0,3.0,0.0,0.0,1.0,0.0
MIA,27.0,2012-01-01,157.0,4.0,1.0,6.0,0.0,0.0,1.0,0.0
BUF,57.0,2012-01-01,3438.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0
NE,76.0,2012-01-01,3300.0,4.0,8.0,-7.0,0.0,0.0,0.0,1.0
BUF,31.0,2012-01-01,3087.0,4.0,4.0,7.0,1.0,0.0,0.0,0.0
NE,64.0,2012-01-01,2944.0,4.0,18.0,-14.0,0.0,0.0,0.0,1.0
BUF,52.0,2012-01-01,2347.0,4.0,9.0,14.0,0.0,0.0,0.0,1.0
BUF,36.0,2012-01-01,1948.0,4.0,12.0,7.0,0.0,1.0,0.0,0.0
NE,28.0,2012-01-01,1644.0,4.0,9.0,-7.0,0.0,0.0,1.0,0.0
BUF,57.0,2012-01-01,1424.0,4.0,5.0,4.0,0.0,0.0,0.0,1.0
NE,2.0,2012-01-01,1216.0,4.0,2.0,-4.0,0.0,0.0,1.0,0.0
BUF,73.0,2012-01-01,634.0,4.0,3.0,-14.0,0.0,0.0,0.0,1.0
SF,30.0,2012-01-01,3286.0,4.0,4.0,0.0,0.0,0.0,1.0,0.0
SF,74.0,2012-01-01,2998.0,4.0,4.0,-7.0,0.0,0.0,0.0,1.0
STL,95.0,2012-01-01,2918.0,4.0,13.0,7.0,0.0,0.0,0.0,1.0
STL,90.0,2012-01-01,2477.0,4.0,17.0,-7.0,0.0,0.0,0.0,0.0
STL,95.0,2012-01-01,2472.0,4.0,22.0,-7.0,0.0,0.0,0.0,1.0
SF,19.0,2012-01-01,2238.0,4.0,16.0,7.0,0.0,0.0,1.0,0.0
STL,80.0,2012-01-01,2133.0,4.0,18.0,-10.0,0.0,0.0,0.0,1.0
SF,61.0,2012-01-01,2041.0,4.0,5.0,10.0,0.0,0.0,0.0,1.0
STL,77.0,2012-01-01,1986.0,4.0,7.0,-10.0,0.0,0.0,0.0,1.0
SF,24.0,2012-01-01,1865.0,4.0,3.0,10.0,0.0,0.0,1.0,0.0
STL,57.0,2012-01-01,1821.0,4.0,2.0,-13.0,0.0,0.0,0.0,1.0
STL,58.0,2012-01-01,1676.0,4.0,4.0,-13.0,0.0,0.0,0.0,1.0
SF,74.0,2012-01-01,1438.0,4.0,16.0,13.0,0.0,0.0,0.0,1.0
STL,31.0,2012-01-01,1209.0,4.0,18.0,-13.0,0.0,0.0,1.0,0.0
SF,14.0,2012-01-01,964.0,4.0,7.0,10.0,1.0,0.0,0.0,0.0
STL,30.0,2012-01-01,744.0,4.0,10.0,-17.0,0.0,0.0,1.0,0.0
,,2012-01-01,568.0,4.0,3.0,,,,,
SF,65.0,2012-01-01,558.0,4.0,3.0,14.0,0.0,0.0,0.0,1.0
SF,85.0,2012-01-01,225.0,4.0,15.0,7.0,0.0,0.0,0.0,1.0
STL,40.0,2012-01-01,163.0,4.0,17.0,-7.0,0.0,1.0,0.0,0.0
CAR,23.0,2012-01-01,2155.0,4.0,9.0,-7.0,0.0,0.0,1.0,0.0
NO,25.0,2012-01-01,1966.0,4.0,7.0,4.0,0.0,0.0,1.0,0.0
CAR,80.0,2012-01-01,1654.0,4.0,23.0,-7.0,0.0,0.0,0.0,1.0
CAR,82.0,2012-01-01,1343.0,4.0,7.0,-14.0,0.0,0.0,0.0,1.0
CAR,56.0,2012-01-01,976.0,4.0,2.0,-21.0,0.0,0.0,0.0,1.0
CAR,47.0,2012-01-01,577.0,4.0,5.0,-28.0,0.0,0.0,0.0,1.0
NO,59.0,2012-01-01,393.0,4.0,1.0,28.0,0.0,0.0,0.0,0.0
NO,64.0,2012-01-01,393.0,4.0,6.0,28.0,0.0,0.0,0.0,1.0
NO,15.0,2012-01-01,37.0,4.0,5.0,28.0,0.0,1.0,0.0,0.0
MIN,69.0,2012-01-01,3506.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0
MIN,8.0,2012-01-01,3237.0,4.0,7.0,0.0,0.0,0.0,1.0,0.0
CHI,75.0,2012-01-01,3173.0,4.0,7.0,-3.0,0.0,0.0,0.0,1.0
MIN,66.0,2012-01-01,3016.0,4.0,11.0,3.0,0.0,0.0,0.0,1.0
MIN,69.0,2012-01-01,2535.0,4.0,4.0,-3.0,0.0,0.0,0.0,1.0
CHI,82.0,2012-01-01,2451.0,4.0,13.0,3.0,0.0,0.0,0.0,1.0
MIN,30.0,2012-01-01,2149.0,4.0,14.0,-3.0,0.0,0.0,1.0,0.0
CHI,71.0,2012-01-01,2060.0,4.0,19.0,3.0,0.0,0.0,0.0,1.0
MIN,8.0,2012-01-01,1859.0,4.0,1.0,-3.0,0.0,0.0,1.0,0.0
CHI,81.0,2012-01-01,1718.0,4.0,11.0,0.0,0.0,0.0,0.0,1.0
CHI,60.0,2012-01-01,1504.0,4.0,13.0,0.0,0.0,0.0,0.0,1.0
MIN,74.0,2012-01-01,1354.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0
CHI,66.0,2012-01-01,1193.0,4.0,20.0,0.0,0.0,0.0,0.0,1.0
MIN,66.0,2012-01-01,1068.0,4.0,8.0,0.0,0.0,0.0,0.0,1.0
CHI,9.0,2012-01-01,622.0,4.0,4.0,0.0,0.0,0.0,1.0,0.0
MIN,44.0,2012-01-01,415.0,4.0,13.0,-3.0,0.0,0.0,0.0,1.0
MIN,23.0,2012-01-01,315.0,4.0,13.0,-3.0,0.0,1.0,0.0,0.0
CHI,49.0,2012-01-01,170.0,4.0,3.0,3.0,0.0,0.0,0.0,0.0
CHI,54.0,2012-01-01,123.0,4.0,8.0,3.0,0.0,0.0,0.0,1.0
MIN,63.0,2012-01-01,62.0,4.0,1.0,-3.0,1.0,0.0,0.0,0.0
DET,59.0,2012-01-01,3404.0,4.0,7.0,9.0,0.0,0.0,0.0,1.0
GB,4.0,2012-01-01,3058.0,4.0,4.0,-9.0,0.0,0.0,1.0,0.0
DET,59.0,2012-01-01,2656.0,4.0,15.0,-1.0,0.0,0.0,0.0,1.0
GB,90.0,2012-01-01,2560.0,4.0,5.0,1.0,0.0,0.0,0.0,1.0
DET,37.0,2012-01-01,2417.0,4.0,3.0,-1.0,1.0,0.0,0.0,0.0
DET,11.0,2012-01-01,2157.0,4.0,6.0,-1.0,0.0,0.0,1.0,0.0
DET,21.0,2012-01-01,1911.0,4.0,4.0,-5.0,0.0,0.0,1.0,0.0
GB,74.0,2012-01-01,1518.0,4.0,1.0,5.0,0.0,0.0,0.0,1.0
GB,84.0,2012-01-01,900.0,4.0,14.0,-3.0,0.0,0.0,0.0,1.0
DET,31.0,2012-01-01,774.0,4.0,3.0,3.0,0.0,1.0,0.0,0.0
DET,92.0,2012-01-01,445.0,4.0,22.0,-4.0,0.0,0.0,0.0,1.0
GB,55.0,2012-01-01,309.0,4.0,12.0,4.0,0.0,0.0,0.0,1.0
PHI,84.0,2012-01-01,3522.0,4.0,14.0,0.0,0.0,0.0,0.0,1.0
WAS,75.0,2012-01-01,3435.0,4.0,5.0,0.0,0.0,0.0,0.0,1.0
PHI,16.0,2012-01-01,3334.0,4.0,9.0,0.0,0.0,0.0,1.0,0.0
WAS,43.0,2012-01-01,3121.0,4.0,9.0,-3.0,0.0,0.0,0.0,1.0
PHI,62.0,2012-01-01,2973.0,4.0,10.0,3.0,0.0,0.0,0.0,1.0
WAS,70.0,2012-01-01,2834.0,4.0,8.0,-3.0,0.0,0.0,0.0,1.0
PHI,56.0,2012-01-01,2622.0,4.0,23.0,3.0,0.0,0.0,0.0,1.0
PHI,72.0,2012-01-01,2455.0,4.0,10.0,3.0,0.0,0.0,0.0,1.0
WAS,18.0,2012-01-01,2178.0,4.0,10.0,-3.0,0.0,0.0,1.0,0.0
WAS,35.0,2012-01-01,1848.0,4.0,6.0,-10.0,0.0,1.0,0.0,0.0
PHI,2.0,2012-01-01,1148.0,4.0,2.0,3.0,0.0,0.0,1.0,0.0
WAS,9.0,2012-01-01,807.0,4.0,6.0,-6.0,0.0,0.0,1.0,0.0
WAS,84.0,2012-01-01,624.0,4.0,29.0,-10.0,0.0,0.0,0.0,1.0
WAS,68.0,2012-01-01,548.0,4.0,8.0,-10.0,0.0,0.0,0.0,1.0
WAS,60.0,2012-01-01,310.0,4.0,3.0,-17.0,0.0,1.0,0.0,0.0
JAC,1.0,2012-01-01,3189.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0
IND,94.0,2012-01-01,3096.0,4.0,5.0,0.0,0.0,0.0,0.0,1.0
IND,30.0,2012-01-01,2525.0,4.0,11.0,-7.0,0.0,0.0,1.0,0.0
IND,27.0,2012-01-01,2330.0,4.0,1.0,-4.0,0.0,1.0,0.0,0.0
JAC,65.0,2012-01-01,2273.0,4.0,3.0,4.0,0.0,0.0,0.0,1.0
IND,79.0,2012-01-01,2160.0,4.0,9.0,-4.0,0.0,0.0,0.0,1.0
JAC,7.0,2012-01-01,1866.0,4.0,3.0,4.0,0.0,0.0,1.0,0.0
IND,2.0,2012-01-01,1449.0,4.0,2.0,-7.0,0.0,0.0,1.0,0.0
JAC,14.0,2012-01-01,1358.0,4.0,9.0,4.0,0.0,0.0,1.0,0.0
JAC,29.0,2012-01-01,1252.0,4.0,20.0,7.0,0.0,0.0,1.0,0.0
IND,61.0,2012-01-01,1091.0,4.0,13.0,-10.0,0.0,0.0,0.0,1.0
JAC,66.0,2012-01-01,908.0,4.0,6.0,10.0,0.0,0.0,0.0,1.0
JAC,21.0,2012-01-01,395.0,4.0,3.0,10.0,0.0,0.0,1.0,0.0
TEN,45.0,2012-01-01,3425.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0
TEN,81.0,2012-01-01,2948.0,4.0,11.0,-7.0,0.0,0.0,0.0,1.0
HOU,57.0,2012-01-01,2860.0,4.0,2.0,7.0,0.0,0.0,0.0,1.0
TEN,3.0,2012-01-01,2589.0,4.0,3.0,-7.0,0.0,0.0,1.0,0.0
HOU,78.0,2012-01-01,2490.0,4.0,14.0,4.0,0.0,0.0,0.0,1.0
TEN,50.0,2012-01-01,2383.0,4.0,6.0,-4.0,0.0,0.0,0.0,1.0
HOU,34.0,2012-01-01,1874.0,4.0,6.0,-3.0,0.0,0.0,1.0,0.0
HOU,19.0,2012-01-01,1610.0,4.0,5.0,-3.0,0.0,0.0,1.0,0.0
TEN,79.0,2012-01-01,1528.0,4.0,9.0,0.0,0.0,0.0,0.0,1.0
HOU,69.0,2012-01-01,1462.0,4.0,11.0,0.0,0.0,0.0,0.0,1.0
TEN,15.0,2012-01-01,1346.0,4.0,3.0,0.0,0.0,0.0,1.0,0.0
HOU,4.0,2012-01-01,900.0,4.0,3.0,-3.0,0.0,0.0,1.0,0.0
TEN,66.0,2012-01-01,698.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0
TEN,61.0,2012-01-01,691.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0
HOU,78.0,2012-01-01,592.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0
TEN,57.0,2012-01-01,564.0,4.0,10.0,0.0,0.0,0.0,0.0,1.0
HOU,86.0,2012-01-01,433.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0
HOU,50.0,2012-01-01,185.0,4.0,20.0,-7.0,0.0,0.0,0.0,1.0
TB,85.0,2012-01-01,3093.0,4.0,15.0,-7.0,0.0,0.0,0.0,1.0
ATL,1.0,2012-01-01,2503.0,4.0,1.0,21.0,1.0,0.0,0.0,0.0
TB,56.0,2012-01-01,2267.0,4.0,15.0,-34.0,0.0,0.0,0.0,1.0
TB,65.0,2012-01-01,1682.0,4.0,6.0,-34.0,0.0,0.0,0.0,1.0
ATL,67.0,2012-01-01,1496.0,4.0,1.0,34.0,0.0,0.0,0.0,1.0
TB,23.0,2012-01-01,1164.0,4.0,13.0,-34.0,0.0,0.0,1.0,0.0
ATL,66.0,2012-01-01,988.0,4.0,8.0,25.0,0.0,0.0,0.0,1.0
TB,90.0,2012-01-01,373.0,4.0,2.0,-19.0,0.0,1.0,0.0,0.0
ATL,2.0,2012-01-01,242.0,4.0,2.0,19.0,0.0,0.0,1.0,0.0
OAK,58.0,2012-01-01,2594.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0
OAK,34.0,2012-01-01,2184.0,4.0,5.0,-7.0,0.0,0.0,1.0,0.0
OAK,26.0,2012-01-01,1944.0,4.0,7.0,-11.0,0.0,0.0,1.0,0.0
SD,33.0,2012-01-01,1851.0,4.0,10.0,8.0,0.0,0.0,1.0,0.0
OAK,9.0,2012-01-01,1701.0,4.0,8.0,-11.0,0.0,0.0,1.0,0.0
OAK,9.0,2012-01-01,1005.0,4.0,7.0,-15.0,0.0,0.0,0.0,0.0
OAK,14.0,2012-01-01,982.0,4.0,12.0,-15.0,0.0,0.0,1.0,0.0
SD,26.0,2012-01-01,670.0,4.0,2.0,12.0,0.0,0.0,1.0,0.0
SD,23.0,2012-01-01,34.0,4.0,12.0,12.0,0.0,1.0,0.0,0.0
KC,45.0,2012-01-01,3383.0,4.0,9.0,0.0,0.0,0.0,0.0,1.0
DEN,81.0,2012-01-01,3266.0,4.0,2.0,0.0,0.0,0.0,0.0,1.0
KC,26.0,2012-01-01,3155.0,4.0,6.0,0.0,0.0,0.0,1.0,0.0
DEN,60.0,2012-01-01,3108.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0
DEN,65.0,2012-01-01,3108.0,4.0,9.0,0.0,0.0,0.0,0.0,1.0
KC,57.0,2012-01-01,2167.0,4.0,3.0,7.0,0.0,0.0,0.0,1.0
DEN,63.0,2012-01-01,2070.0,4.0,2.0,-7.0,0.0,0.0,0.0,1.0
KC,81.0,2012-01-01,1943.0,4.0,9.0,7.0,0.0,0.0,0.0,1.0
DEN,39.0,2012-01-01,1831.0,4.0,9.0,-7.0,0.0,0.0,0.0,1.0
DEN,59.0,2012-01-01,1501.0,4.0,21.0,-7.0,0.0,0.0,0.0,0.0
DEN,54.0,2012-01-01,1490.0,4.0,16.0,-7.0,0.0,0.0,0.0,1.0
DEN,15.0,2012-01-01,1395.0,4.0,5.0,-7.0,0.0,0.0,0.0,0.0
DEN,20.0,2012-01-01,1395.0,4.0,10.0,-7.0,0.0,0.0,1.0,0.0
KC,55.0,2012-01-01,1224.0,4.0,6.0,4.0,0.0,0.0,0.0,1.0
DEN,58.0,2012-01-01,1029.0,4.0,6.0,-4.0,0.0,0.0,0.0,1.0
KC,73.0,2012-01-01,968.0,4.0,4.0,4.0,0.0,0.0,0.0,1.0
DEN,45.0,2012-01-01,635.0,4.0,15.0,-4.0,0.0,0.0,0.0,1.0
KC,94.0,2012-01-01,519.0,4.0,7.0,4.0,0.0,0.0,0.0,1.0
DEN,43.0,2012-01-01,406.0,4.0,4.0,-4.0,0.0,0.0,0.0,1.0
KC,54.0,2012-01-01,248.0,4.0,15.0,4.0,0.0,0.0,0.0,1.0
DEN,72.0,2012-01-01,157.0,4.0,7.0,-4.0,0.0,0.0,0.0,1.0
KC,57.0,2012-01-01,72.0,4.0,4.0,4.0,0.0,0.0,0.0,1.0
DEN,52.0,2012-01-01,19.0,4.0,2.0,-4.0,0.0,1.0,0.0,0.0
CLE,71.0,2012-01-01,3497.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0
PIT,32.0,2012-01-01,3250.0,4.0,3.0,0.0,0.0,1.0,0.0,0.0
CLE,63.0,2012-01-01,3179.0,4.0,5.0,0.0,0.0,0.0,0.0,1.0
PIT,52.0,2012-01-01,2785.0,4.0,22.0,0.0,0.0,0.0,0.0,1.0
CLE,94.0,2012-01-01,2730.0,4.0,8.0,0.0,0.0,0.0,0.0,1.0
PIT,22.0,2012-01-01,2523.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0
PIT,27.0,2012-01-01,2403.0,4.0,18.0,0.0,0.0,0.0,1.0,0.0
CLE,8.0,2012-01-01,2167.0,4.0,8.0,0.0,0.0,0.0,1.0,0.0
PIT,67.0,2012-01-01,1991.0,4.0,6.0,-3.0,0.0,0.0,0.0,1.0
CLE,27.0,2012-01-01,1871.0,4.0,10.0,3.0,0.0,0.0,1.0,0.0
PIT,11.0,2012-01-01,1487.0,4.0,9.0,-3.0,0.0,0.0,1.0,0.0
CLE,31.0,2012-01-01,1024.0,4.0,17.0,-7.0,0.0,0.0,1.0,0.0
PIT,70.0,2012-01-01,900.0,4.0,1.0,4.0,0.0,0.0,0.0,1.0
CLE,76.0,2012-01-01,840.0,4.0,8.0,-4.0,0.0,0.0,0.0,1.0
CLE,34.0,2012-01-01,615.0,4.0,12.0,-4.0,0.0,0.0,0.0,1.0
CLE,51.0,2012-01-01,308.0,4.0,10.0,-4.0,0.0,0.0,0.0,1.0
PIT,63.0,2012-01-01,117.0,4.0,2.0,4.0,0.0,0.0,0.0,1.0
CIN,70.0,2012-01-01,3378.0,4.0,1.0,-7.0,0.0,0.0,0.0,1.0
BAL,24.0,2012-01-01,3110.0,4.0,4.0,7.0,0.0,0.0,1.0,0.0
CIN,28.0,2012-01-01,2887.0,4.0,9.0,-10.0,0.0,0.0,1.0,0.0
BAL,70.0,2012-01-01,2803.0,4.0,3.0,7.0,0.0,0.0,0.0,1.0
CIN,18.0,2012-01-01,2431.0,4.0,2.0,-7.0,0.0,0.0,1.0,0.0
BAL,60.0,2012-01-01,2258.0,4.0,8.0,7.0,0.0,0.0,0.0,1.0
CIN,62.0,2012-01-01,2116.0,4.0,1.0,-7.0,0.0,0.0,0.0,1.0
CIN,68.0,2012-01-01,1737.0,4.0,8.0,-14.0,0.0,0.0,0.0,1.0
BAL,53.0,2012-01-01,1530.0,4.0,2.0,14.0,0.0,0.0,0.0,1.0
CIN,70.0,2012-01-01,1391.0,4.0,20.0,-14.0,0.0,0.0,0.0,1.0
BAL,89.0,2012-01-01,1235.0,4.0,11.0,14.0,0.0,0.0,0.0,1.0
BAL,80.0,2012-01-01,993.0,4.0,10.0,7.0,0.0,0.0,0.0,1.0
CIN,28.0,2012-01-01,760.0,4.0,10.0,-7.0,0.0,0.0,1.0,0.0
BAL,60.0,2012-01-01,630.0,4.0,4.0,4.0,0.0,0.0,0.0,1.0
CIN,5.0,2012-01-01,164.0,4.0,4.0,-11.0,0.0,0.0,1.0,0.0
BAL,63.0,2012-01-01,72.0,4.0,4.0,8.0,0.0,0.0,0.0,1.0
SEA,60.0,2012-01-01,3509.0,4.0,6.0,0.0,0.0,0.0,0.0,1.0
ARI,55.0,2012-01-01,3415.0,4.0,3.0,0.0,0.0,0.0,0.0,1.0
SEA,64.0,2012-01-01,3169.0,4.0,2.0,0.0,0.0,0.0,0.0,1.0
SEA,25.0,2012-01-01,2568.0,4.0,15.0,-7.0,0.0,0.0,1.0,0.0
ARI,41.0,2012-01-01,2321.0,4.0,13.0,4.0,0.0,0.0,0.0,1.0
SEA,80.0,2012-01-01,2217.0,4.0,2.0,-4.0,0.0,0.0,0.0,1.0
ARI,23.0,2012-01-01,2013.0,4.0,23.0,4.0,0.0,0.0,1.0,0.0
SEA,63.0,2012-01-01,1881.0,4.0,4.0,-7.0,0.0,0.0,0.0,1.0
ARI,76.0,2012-01-01,1855.0,4.0,6.0,7.0,0.0,0.0,0.0,1.0
ARI,64.0,2012-01-01,1653.0,4.0,15.0,7.0,0.0,0.0,0.0,1.0
SEA,6.0,2012-01-01,918.0,4.0,6.0,-7.0,0.0,0.0,1.0,0.0
ARI,25.0,2012-01-01,743.0,4.0,5.0,7.0,0.0,0.0,1.0,0.0
SEA,72.0,2012-01-01,657.0,4.0,2.0,-10.0,0.0,0.0,0.0,1.0
SEA,13.0,2012-01-01,555.0,4.0,11.0,-10.0,0.0,0.0,0.0,0.0
SEA,8.0,2012-01-01,550.0,4.0,6.0,-10.0,0.0,0.0,1.0,0.0
ARI,78.0,2012-01-01,487.0,4.0,9.0,7.0,0.0,0.0,0.0,1.0
ARI,56.0,2012-01-01,318.0,4.0,9.0,0.0,0.0,0.0,0.0,1.0
SEA,59.0,2012-01-01,148.0,4.0,3.0,0.0,0.0,0.0,0.0,1.0
ARI,76.0,2012-01-01,119.0,4.0,3.0,0.0,0.0,0.0,0.0,1.0
SEA,49.0,2012-01-01,35.0,4.0,8.0,0.0,0.0,0.0,0.0,1.0
SEA,61.0,2012-01-01,847.0,4.0,11.0,0.0,0.0,0.0,0.0,1.0
ARI,39.0,2012-01-01,602.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0
DAL,68.0,2012-01-01,3515.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0
NYG,72.0,2012-01-01,3306.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0
DAL,58.0,2012-01-01,3179.0,4.0,10.0,0.0,0.0,0.0,0.0,1.0
DAL,83.0,2012-01-01,2881.0,4.0,11.0,-7.0,0.0,0.0,0.0,1.0
DAL,90.0,2012-01-01,2498.0,4.0,15.0,-14.0,0.0,0.0,0.0,1.0
NYG,22.0,2012-01-01,2261.0,4.0,18.0,14.0,0.0,0.0,1.0,0.0
DAL,41.0,2012-01-01,2075.0,4.0,8.0,-14.0,0.0,0.0,0.0,1.0
NYG,42.0,2012-01-01,1593.0,4.0,2.0,21.0,0.0,0.0,0.0,1.0
NYG,70.0,2012-01-01,1245.0,4.0,11.0,14.0,0.0,0.0,0.0,1.0
NYG,35.0,2012-01-01,1049.0,4.0,1.0,14.0,0.0,1.0,0.0,0.0
DAL,10.0,2012-01-01,840.0,4.0,1.0,-14.0,0.0,1.0,0.0,0.0
NYG,81.0,2012-01-01,716.0,4.0,1.0,14.0,0.0,0.0,0.0,1.0
NYG,10.0,2012-01-01,351.0,4.0,10.0,7.0,0.0,0.0,1.0,0.0
DAL,81.0,2012-01-01,303.0,4.0,13.0,-10.0,0.0,0.0,0.0,1.0
NYG,79.0,2012-09-05,3538.0,4.0,5.0,0.0,0.0,0.0,0.0,1.0
DAL,81.0,2012-09-05,3441.0,4.0,15.0,0.0,0.0,0.0,0.0,1.0
DAL,37.0,2012-09-05,2866.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0
NYG,45.0,2012-09-05,2616.0,4.0,14.0,0.0,0.0,0.0,0.0,1.0
NYG,4.0,2012-09-05,2354.0,4.0,4.0,0.0,0.0,0.0,1.0,0.0
DAL,64.0,2012-09-05,2128.0,4.0,6.0,-3.0,0.0,0.0,0.0,1.0
NYG,82.0,2012-09-05,2022.0,4.0,8.0,3.0,0.0,0.0,0.0,1.0
DAL,15.0,2012-09-05,945.0,4.0,15.0,4.0,0.0,0.0,1.0,0.0
NYG,61.0,2012-09-05,797.0,4.0,9.0,-7.0,0.0,0.0,0.0,1.0
NYG,29.0,2012-09-05,243.0,4.0,2.0,-14.0,1.0,0.0,0.0,0.0
NYG,13.0,2012-09-05,185.0,4.0,1.0,-14.0,1.0,0.0,0.0,0.0
CHI,95.0,2012-09-09,3495.0,4.0,21.0,0.0,0.0,0.0,0.0,1.0
IND,44.0,2012-09-09,3400.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0
IND,63.0,2012-09-09,2968.0,4.0,4.0,-1.0,0.0,0.0,0.0,1.0
CHI,77.0,2012-09-09,2909.0,4.0,7.0,1.0,0.0,0.0,0.0,1.0
IND,47.0,2012-09-09,2798.0,4.0,1.0,-1.0,0.0,0.0,0.0,1.0
CHI,17.0,2012-09-09,2136.0,4.0,4.0,8.0,0.0,0.0,1.0,0.0
IND,79.0,2012-09-09,1759.0,4.0,9.0,-11.0,0.0,0.0,0.0,1.0
CHI,8.0,2012-09-09,1507.0,4.0,6.0,18.0,0.0,0.0,1.0,0.0
CHI,78.0,2012-09-09,1066.0,4.0,20.0,21.0,0.0,0.0,0.0,1.0
CHI,50.0,2012-09-09,920.0,4.0,1.0,21.0,0.0,0.0,0.0,1.0
IND,31.0,2012-09-09,736.0,4.0,10.0,-21.0,1.0,0.0,0.0,0.0
IND,79.0,2012-09-09,301.0,4.0,19.0,-21.0,0.0,0.0,0.0,1.0
CHI,79.0,2012-09-09,157.0,4.0,14.0,21.0,0.0,0.0,0.0,1.0
IND,62.0,2012-09-09,119.0,4.0,15.0,-21.0,1.0,0.0,0.0,0.0
KC,21.0,2012-09-09,2946.0,4.0,7.0,-7.0,0.0,0.0,1.0,0.0
ATL,16.0,2012-09-09,2817.0,4.0,2.0,4.0,0.0,0.0,1.0,0.0
ATL,3.0,2012-09-09,1813.0,4.0,3.0,0.0,0.0,0.0,1.0,0.0
KC,22.0,2012-09-09,1449.0,4.0,4.0,-3.0,0.0,0.0,1.0,0.0
ATL,12.0,2012-09-09,856.0,4.0,5.0,17.0,0.0,0.0,1.0,0.0
ATL,23.0,2012-09-09,644.0,4.0,2.0,20.0,0.0,0.0,1.0,0.0
KC,62.0,2012-09-09,425.0,4.0,9.0,-23.0,0.0,0.0,0.0,1.0
ATL,75.0,2012-09-09,196.0,4.0,4.0,23.0,0.0,0.0,0.0,1.0
CLE,25.0,2012-09-09,3256.0,4.0,9.0,0.0,0.0,0.0,1.0,0.0
CLE,51.0,2012-09-09,2834.0,4.0,1.0,3.0,0.0,0.0,0.0,1.0
PHI,23.0,2012-09-09,2700.0,4.0,8.0,-3.0,0.0,0.0,1.0,0.0
PHI,85.0,2012-09-09,2472.0,4.0,2.0,0.0,0.0,0.0,0.0,1.0
CLE,61.0,2012-09-09,2381.0,4.0,2.0,0.0,0.0,0.0,0.0,1.0
PHI,71.0,2012-09-09,2253.0,4.0,11.0,0.0,0.0,0.0,0.0,1.0
PHI,67.0,2012-09-09,2101.0,4.0,3.0,0.0,0.0,0.0,0.0,1.0
CLE,49.0,2012-09-09,1965.0,4.0,10.0,0.0,0.0,0.0,0.0,1.0
PHI,54.0,2012-09-09,1895.0,4.0,10.0,0.0,0.0,0.0,0.0,1.0
CLE,74.0,2012-09-09,1856.0,4.0,2.0,0.0,0.0,0.0,0.0,1.0
CLE,69.0,2012-09-09,1629.0,4.0,5.0,-7.0,0.0,0.0,0.0,1.0
PHI,94.0,2012-09-09,1565.0,4.0,15.0,7.0,0.0,0.0,0.0,1.0
CLE,24.0,2012-09-09,1201.0,4.0,9.0,-7.0,0.0,0.0,1.0,0.0
PHI,72.0,2012-09-09,1113.0,4.0,2.0,4.0,0.0,0.0,0.0,1.0
CLE,69.0,2012-09-09,1088.0,4.0,10.0,-4.0,0.0,0.0,0.0,1.0
CLE,4.0,2012-09-09,857.0,4.0,4.0,-4.0,0.0,0.0,1.0,0.0
PHI,27.0,2012-09-09,544.0,4.0,9.0,-5.0,0.0,0.0,1.0,0.0
CLE,46.0,2012-09-09,393.0,4.0,11.0,5.0,0.0,0.0,0.0,1.0
